delminium c.,Delinum
campania,Campania
argire,Argire
rages c.,Rages
muneth,Muneth
laodicia,Laodiciam 
humber fl.,Humber
suessionum,Suesia
massagete g.,Massagete
theman,Theman
ratisbona,Remesburgh
orcades i.,Orcades
valeria,Valeria 
isara fl.,Fluuius Eysa
menix i.,Menix
gortina,Gortina
teman,Theman
antalia,Atalia
paflagonia,Paflagonia
miletus,Miletus
liburnia c.,Layburna
concordia,Concordia
tafnis c.,Tafnis
lixus c.,Lixcolis
cassiopia,Cassiopia
toletum,Toletum
aquensis,Aquesia
strasburg,Straburh
armachus,Arhmaca
praga,Braga
gaba saulis,Sabaa
judei g.,iudei
brundisium,Brundisium
thessalia,Thessalia
coblencia,Fluencia
veredunus,Veredunum
paphos,Paphus
cantuaria,Canturia 
catania,Canna
oxonium,Oxenford
northhumbria,Norhumbria
ficaria i.,Ficaria
malichu i.,malichu
carlua,Carlua
frisones g.,Frisones
achaia,Acaya 
ilium,Hilium
illiricum r.,Illiricus
velabri g.,Welabri
numidia,Numidia
igicolis,Ygicolis
laude ,Laude 
phanagoria,Penagorgea
media r.,Medea
tuscia,Tuscia
turringia,Turingia
aegeum mare,Egea
tenedes i.,Tenedes
hibea,Hibea
gauloena,Gauloena
uluestria,Vluestria
galatia,Galaria
panopolis,Pelipolis
troia,Troia
aphrodisia,Frondisia
minorca,Minorga
lemovica,Limogena
champania,Campania
grifes,griphes
parthia r.,parthia
andrianopolis,Peliopolis
palencia,Palencia
colubraria i.,Colubraria
sile c.,Sile
philippi in macedonia,Philippus
leo,leo
zadar pula,Adrepola
ancona,Ancona
idrontum,Ydrontum
aulona,Aulona
basilicus,Basiliscus
geon fl.,gion
agregentum,Agrigene
alticium,Alticium
man,Man
crisolida i.,Criselida
arabona,Arabona
pathmos,Pathmos
leodium,Leodium
tarentus,Tarentum
regordane,Recordanorum
cornubia,Cornubia
modin,Modin
cimeracum c.,Cimeracum
thasos,Thasos
aragona,Aragona
tenedos i.,Tenedos
cephalenta,Cephalenta
caul i.,Caul
cordoba,Corduba
mediolanum,Mediolanum
siluacolis,Siluacolis
santonum,Sentungia
terasia,Terasia
jaca,Yake
festia,festia insula
prienna,Prienna
hippo r.,ippone
hippo c.,ippone
cezilie,Cezilie
carambis,Carambis
lucania,Lucania
placentia,Placencia
daphnai,Dafnus
hellada,hellada
monoculi,monoculi
valencia,Galencia
beuerlacum,Beuerlacum
dan fl.,dan
florencia,Florencia
galata i.,Galata
wie fl.,Wie
salamis i.,Salami
murduacia,Murduacia
piscinus,Piscinus
gloucester,Glearum
parnassus m.,Parnasus
caribdis,Caribdis
cilicia,Cilicia
hister fl.,Hister
northampton,Northamtonia
ionia,Yonia
fronsacea,Fronsacea
favonius v.,Favonius
cachinna,Cachinna
capua,Capua
verona,verona
mahuon,mahun
italia,Italia
himantipodes,Himantopodes
luceni,Luceni
kircham,Kircham
pisa,Pisa
nazareth,Nazaret
amonite,Amonne
aberdene,Aberdene
caria,Caria
sciapodes,Scinopodes
chania,Cidona
braga,Bragaria
apterophon,Apterophon
naxos,Naxon
seres g.,Seres
asher,Asen
melita,Hilta
cirera,Cirera
londonia,londonia
apulia,apulia
lausana,Losana
tracia r.,Trucia
euphrates fl.,Eufrates
ely,Ely
geneva,Genaua
cartenna,Cirtenna
thessalonica,Thessalonica
bayona,Bayona
agriophagi ethiopes,Agriophagi Ethiopes
gomor,Gomor
nichasii m.,Mons Nichasii
yne fl.,Fluuius Yne
ouse fl.,Fluuius Use
libeum m.,Mons Libeum
sancti jacobi templum,templum sancti iacobi
antiochia in pisidia,Antiochet
ostrochena,Ostrochena
albana fl.,Albana Fluuius
salinarus lacus,Lacus Salinarum
alexandria in egyptus c.,Alexandria
bersabee,Bersabee
cyprus in mare rubrum,Ciprus
apollonia promontorium,Promunctorium Appollonis
suevus m.,Mons Sueuus
frigia minor,Frigia Inferior
are alexandri,Aree Alexandri
axona fl.,Fluuius Auxonta
sturi fl.,Fluuius Sturi
arna blanca fl.,Fluuius Arna Blanca
gallilcum mare,Mare Galilee
genoa,Genua Ciuitas
ganges fl.,Ganges Fluuius
tyne fl.,fluuius tin
sirtes minores,sirtes minores
gelboe m.,mons gelboe
tyle,ultima tile
garganus m.,Mons Garganus
iconium c.,Yconium Ciuitas
wadus fl.,Fluuius Wadus
trenta fl.,Fluuius Trenta
tabor m.,mons tabor
ansaga fl.,Amsiga Fluuius
