,sarina?,Sarina?,capadocia r.,Capadocia ,hesperidum i.,Esperidum insule,albani,Albani,umbria r.,Ymbria,flumen,Flumen,numidia,numidia,caspium mare,mari caspio,creta,creta insula,massilia,massilia
,jazaron,Iazaron,scythia superiore,Sithia Superiore,fortunate,Fortunate insule,albania,Albania ,sabinia,Sabinia,athena,Athenas,alemannia,alamania,euxinus pontus,euxinum pontum,caspium mare,mare caspium,septentrio v.,septentrio
,nisibi,Nisapi,scythia inferiore,Sithia Inferiore,hibernia,Hibernia,albania superior,Albania superior,campania,Campania,cantia?,Cantia?,perisus v.,perisus,tanais fl.,fluvium tanaim,ypanis fl.,fl. Yppanis,snawedon m.,snawedon
,polibota,Pabibora,hyrcania,Hyrcania,scotia,Scotia,albania inferior,Albania inferior,apulia,Apulia,effraim tribus,Effraim,neapolis,neapolis,amazonia r.,amazonia,crisoroas fl.,fl. Crisoroas,trevirorum,verona
,capadocia c.,Capadocia,jazaron,Thazaron ,thanatos,Tanatos,albanicus o.,Albanicus,grecia magna,Magna Grecia,pannonia,Pannonia,westfalia,wesfalia,albania,albania,euphrates fl.,fl. Eufrates,salzeburg,Salzeburgh
,calcedonia c.,Calcidonia,aracusia,Aracusa ,britannia maior,Anglia insua (sic) que et Britannia maior,albula,Albula,venetia,Venecia,neronorroen,Neronorroen,liguricus s.,ligusticus sinus,hyrcania,hirchania,dan fl.,dan,palerma,palerna
,troia,Troia,meda,Meda,anglia,Anglia insua (sic) que et Britannia maior,alemannia,Alemannia,histria,Histria,siria,Siria,cirene,cirene,bactria r.,bactria,scilla i.,scilla,tadan,cadan
,persepolis,Peliopolis,thesia,Thesia,tile,Tile insula,are alexandri,Alexandri Are,roma,Roma,evilath,Evilath,sestos c.,cestos insula,iberia,hyberia,media inferior,media inferior,termopile,Termopile
,persepolis,Pesiopolis,persepolis,Persepolis,gog et magog,Gog et Magog,castra alexandri,Alexandri Castra,capua,Capua,chaldea,Chaldea,corsica,maior corsica,armenia,armenia,oxus fl.,fl. Oxus,eboracum,Eboracum
,jericho,Iericho,edessa,Edessa,tyle,Tilos insula,columpne alexandri,Alexandri Columpne,lavinia,Lavinia,caucasus m.?,Mons,trachias v.,trachias,capadocia r.,cappadocia,bersabee,bersabee,brucii,Brucii
,bethlehem,Belehem,carras,Carra,crise,Crise insula,alexandria in egyptus c.,Alexandria,jovis m.,Mons Iovis,sclavi g.,Sclavi,galilea,galile,colchos r.,colchos,achaia,achaya,pandea g.,pandea
,jerusalem,Ierusalem,philadelphia,Philadelphia,argire,Argire insula,alpes,Alpes,achaia,Achaia,turchi,Turchi,babilon c.,babilonia,asia minor,asia minor,octogora fl.,octorogorra,minutanda,Minutanda
,azotus,Azotus,antiochia,Antioch ,ferrea,Ferrea insula,alpes gothice,Alpes Gothice,arcadia,Archadia,bithynia,Bithinia,babilonia r.,babilonia,cilicia,cilicia,mauritania sitifensis,mauritania sitifensis,diospolis,Diospolis
,elam,Elam,jerusalem,Jerusalem,stridonis i.,Stridonia,amana,Amana,baioaria,Boioaria,tracia r.,Tracia,libani m.,mons libani,rubrum mare,mare rubrum,armenia,armenia,moesia,Messia
,theodosipolis,Theodosopolis,nazareth,Nazaret,erea,Erea,amandros,Amandros,dalmatia,Dalmacia,mauritania,Mauritania,ligeris fl.,fluvius ligerus,orientalis o.,occeano orientali,transitus hebreorum,transitus hebreorum,corsica,corsica
,asia maior,Asya Maior,sagasta,Sagasta,gorgoneos,Gorgoneos insula,amazonia r.,Amazones,dardania,Dardania,moabite,Moabite,boreus v.,boreas,australis o.,occeanum australem,ethiopia,ethiopia,leucasia,Leocotea
,asia minor,Asya Minor,ascalon,Ascalon,cyprus,Cyprus,ambianis,Ambianis,grecia,Grecia,morenwergas,Morenwergas,provincia r.,provincia,ethiopia,ethiopia,persipolis c.,persipolis civitas,scioena,Scioena
,octogora c.,Octogora,troia,"Ilium, id est Troia",cimericum mare,Cimericum mare,ancona,Ancona,macedonia,Macedonia,lucca,Luca,genolamides,genolamides,ethiope m.,montibus ethiopicis,colonia,colonia,brabancia,brabannia
,hermus fl.,Fluvius Hermes,ilium,"Ilium, id est Troia",euxinum mare,Eusinum mare,andegavis c.,Andegavis,magnesia,Magnesia,isauria,Issauria,tigris fl.,tigris,occidentalis o.,occeanum occidentale,siria celes,celes siria,oterawie,Oterawie
,cintilis fl.,Fluvius Cintilis,bithynia,Bithinia,propontis mare,Propontis,anglia,Anglia,moesia,Mesia,jerusalem,Hierusalem,euphrates fl.,eufrates,egyptus superior,egyptus superior,gansmir,ganzmir,enos c.,enos
,riphei m.,Mons Riphei,parthan in albania c.,Spartum,hellespontus,Ellespontus,ansaga fl.,Ansaga,noricus,Norica,roma,Roma,amazonia r.,amasones,egyptus d.,deserta egypti,cyprus,cyprus,spinx?,pines
,oscobares m.,Mons  Orcatoten,paphos,Paphus,bosphorus,Bosphorus,antiochia,Antiochia,pannonia,Pannonia,capadocia r.,Cappadocia,bragmani g.,bragmanni,libia superior,libia superior,corsica,corsica,patera,Patera
,libani m.,Mons Libani,calcedonia c.,Calcedonia,cyprium mare,Cyprium mare,antopolis,Antopolis,retia,Recia,britannia,Brittania,ethiopia occidentalis,ethiopia occidentalis,egyptus inferior,egyptus inferior,sarmatica r.,sarmathe,notingera,Snotingham
,excelsus m.,Mons Excelsus,creta,Creta insula,asiaticus s.,Asiaticus sinus,anthropophagi,Antropofagi,thessalia,Thessalia,amonite,Amonite,madian,madian,nathabres,ethiopes nadaberes,carmania,carmania,sestos c.,Sestos
,ganges fl.,Ganges,hecatompolis,Centapolis,cilicus s.,Cilicus sinus,apallina i.,Apallina,tracia r.,Tracia,armachus,Archmacanum,gaditanum fretum,gaditanum fretum,garamantes,garamantes,nilus lacus,nilides lacus,patavium,Patavium
